epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12308.9,0.06512,0.31833,0.85936,0.63243,0.50108,0.51231,0.50895,0.10857,1.31473,0.36248,0.000660045,0.000660045,0.000660045
43,12603.2,0.06322,0.32269,0.85621,0.61979,0.52915,0.54291,0.54109,0.10663,1.08689,0.35378,0.000649046,0.000649046,0.000649046
44,12897.3,0.06339,0.3161,0.85648,0.60651,0.53889,0.5279,0.52556,0.13397,1.20854,0.38944,0.000638047,0.000638047,0.000638047
45,13191.4,0.06205,0.32072,0.85866,0.60927,0.52787,0.53437,0.53386,0.12065,1.16427,0.36844,0.000627048,0.000627048,0.000627048
46,13486,0.06145,0.31065,0.85901,0.66078,0.50601,0.54034,0.53785,0.11226,1.13709,0.36433,0.000616049,0.000616049,0.000616049
47,13780.5,0.06052,0.29767,0.85349,0.616,0.53803,0.53708,0.53239,0.16347,1.11437,0.43345,0.000605051,0.000605051,0.000605051
48,14074.5,0.06245,0.30613,0.85885,0.61076,0.52286,0.52877,0.52243,0.15946,1.19218,0.42488,0.000594052,0.000594052,0.000594052
49,14368.2,0.05975,0.2994,0.85766,0.63474,0.54227,0.56056,0.56028,0.12404,1.06642,0.37023,0.000583053,0.000583053,0.000583053
50,14663.6,0.05897,0.29197,0.85794,0.64236,0.55089,0.5625,0.55924,0.11839,1.05111,0.36993,0.000572054,0.000572054,0.000572054
51,14961.6,0.05712,0.28769,0.86048,0.65667,0.52214,0.55554,0.55086,0.14211,1.1169,0.40119,0.000561055,0.000561055,0.000561055
52,15260.7,0.0574,0.28285,0.85651,0.66914,0.53925,0.56711,0.56285,0.13539,1.03334,0.3935,0.000550056,0.000550056,0.000550056
53,15556,0.0578,0.28382,0.85666,0.67792,0.51295,0.52923,0.52564,0.12858,1.29932,0.38612,0.000539057,0.000539057,0.000539057
54,15849.9,0.05674,0.28854,0.85748,0.65513,0.50818,0.53659,0.53438,0.11283,1.20455,0.36387,0.000528058,0.000528058,0.000528058
55,16144.2,0.05727,0.27394,0.85805,0.65875,0.55696,0.57002,0.5678,0.13516,1.00228,0.37633,0.000517059,0.000517059,0.000517059
56,16437.1,0.05707,0.27955,0.85528,0.65268,0.56013,0.55681,0.55507,0.11144,1.02105,0.35595,0.00050606,0.00050606,0.00050606
57,16731.9,0.05741,0.26351,0.85581,0.69017,0.53495,0.55877,0.55766,0.11869,1.14415,0.36993,0.000495062,0.000495062,0.000495062
58,17027.9,0.05737,0.26375,0.85756,0.70375,0.51083,0.55744,0.55572,0.13171,1.12694,0.37605,0.000484063,0.000484063,0.000484063
59,17325.6,0.05306,0.25707,0.85599,0.65106,0.54814,0.5539,0.55294,0.13196,1.17965,0.38139,0.000473064,0.000473064,0.000473064
60,17619.9,0.05451,0.26014,0.85756,0.6907,0.5466,0.57915,0.57689,0.11749,1.00735,0.36549,0.000462065,0.000462065,0.000462065
61,17915.2,0.05405,0.26097,0.85824,0.68809,0.53547,0.57279,0.57174,0.12537,1.06468,0.37664,0.000451066,0.000451066,0.000451066
62,18209.9,0.0527,0.25497,0.85566,0.71079,0.55658,0.58132,0.57892,0.12794,1.01868,0.37869,0.000440067,0.000440067,0.000440067
63,18503.6,0.05085,0.24717,0.85482,0.66225,0.55811,0.57296,0.57213,0.12089,1.06206,0.36972,0.000429068,0.000429068,0.000429068
64,18797.4,0.05033,0.24773,0.85941,0.66354,0.5483,0.56986,0.56737,0.11978,1.07153,0.36827,0.000418069,0.000418069,0.000418069
65,19092.2,0.05119,0.24557,0.85664,0.66191,0.55797,0.57025,0.5694,0.11568,1.05036,0.36419,0.00040707,0.00040707,0.00040707
66,19389.4,0.05073,0.24469,0.85492,0.71745,0.50215,0.55366,0.55269,0.14286,1.21489,0.39816,0.000396071,0.000396071,0.000396071
67,19684.7,0.05054,0.24078,0.85441,0.70705,0.52374,0.56738,0.56625,0.11377,1.1218,0.36504,0.000385073,0.000385073,0.000385073
68,19980,0.05074,0.24735,0.85579,0.69086,0.53249,0.56691,0.56545,0.12161,1.09517,0.37576,0.000374074,0.000374074,0.000374074
69,20275.5,0.04969,0.23638,0.85471,0.73713,0.5184,0.58537,0.58234,0.12809,1.05528,0.38665,0.000363075,0.000363075,0.000363075
70,20569.5,0.05018,0.24456,0.85511,0.66413,0.5493,0.57532,0.57347,0.12004,1.07586,0.37581,0.000352076,0.000352076,0.000352076
71,20865.4,0.04971,0.23921,0.85543,0.70689,0.53672,0.57702,0.5766,0.11588,1.11754,0.37041,0.000341077,0.000341077,0.000341077
72,21161.3,0.0469,0.2228,0.85716,0.66443,0.56383,0.58349,0.58326,0.12414,1.04873,0.37817,0.000330078,0.000330078,0.000330078
73,21455.7,0.04632,0.23226,0.85525,0.68275,0.54818,0.57201,0.57073,0.1282,1.10269,0.37695,0.000319079,0.000319079,0.000319079
74,21750.8,0.04546,0.22357,0.85588,0.67344,0.52349,0.55168,0.55099,0.11899,1.23999,0.37044,0.00030808,0.00030808,0.00030808
75,22046.5,0.04593,0.22021,0.85619,0.66481,0.5571,0.5683,0.56678,0.11394,1.11112,0.3683,0.000297081,0.000297081,0.000297081
76,22341.9,0.04464,0.21684,0.85248,0.68604,0.53224,0.56495,0.56389,0.11948,1.16313,0.37447,0.000286083,0.000286083,0.000286083
77,22636.5,0.04341,0.21453,0.85517,0.71436,0.53697,0.58327,0.57971,0.10543,1.07664,0.35816,0.000275084,0.000275084,0.000275084
78,22931.3,0.04314,0.21068,0.85645,0.69856,0.54011,0.57196,0.56927,0.11394,1.12558,0.36859,0.000264085,0.000264085,0.000264085
